dateReferentiel;route;longueur;prD;depPrD;concessionPrD;absD;cumulD;xD;yD;zD;prF;depPrF;concessionPrF;absF;cumulF;xF;yF;zF;anneeMesureTrafic;typeComptageTrafic;TMJA;RatioPL;lngD;latD;zzD;lngF;latF;zzF
2017-01-01;A0004;1805.0;109;51;C;100.0;109181.0;750798.74;6894780.16;0;110;2;C;905.0;110986.0;752437.5;6895454.01;0;2017;Permanent horaire;20654;10.8;3.6962692140575397;49.15078065210687;0.0;3.718813612584206;49.156706758310534;0.0
2017-01-01;A0004;3210.0;110;2;C;905.0;110986.0;752437.5;6895454.01;0;114;2;C;115.0;114196.0;754533.15;6897821.37;0;2017;Permanent horaire;21698;10.4;3.718813612584206;49.156706758310534;0.0;3.7478464519347163;49.17781474584691;0.0
2017-01-01;A0004;17935.0;114;2;C;115.0;114196.0;754533.15;6897821.37;0;132;51;C;50.0;132131.0;769245.07;6905740.74;0;2017;Permanent horaire;21698;10.4;3.7478464519347163;49.17781474584691;0.0;3.9508903731404064;49.24758429027756;0.0
2017-01-01;A0004;1080.0;132;51;C;50.0;132131.0;769245.07;6905740.74;0;133;51;C;130.0;133211.0;770221.05;6905303.31;0;2017;Permanent horaire;11313;9.4;3.9508903731404064;49.24758429027756;0.0;3.9642181008903656;49.243545756539895;0.0
2017-01-01;A0004;3870.0;133;51;C;130.0;133211.0;770221.05;6905303.31;0;137;51;C;0.0;137081.0;772115.79;6902135.41;0;2017;Permanent horaire;25965;17.1;3.9642181008903656;49.243545756539895;0.0;3.989687260094564;49.21485779517556;0.0
2017-01-01;A0004;1730.0;137;51;C;0.0;137081.0;772115.79;6902135.41;0;138;51;C;730.0;138811.0;773617.57;6901284.74;0;2017;Permanent horaire;25965;17.1;3.989687260094564;49.21485779517556;0.0;4.010145504173554;49.20703978477944;0.0
2017-01-01;A0004;2570.0;138;51;C;730.0;138811.0;773617.57;6901284.74;0;141;51;C;300.0;141381.0;775983.93;6901639.58;0;2017;Permanent horaire;24395;17.8;4.010145504173554;49.20703978477944;0.0;4.042676151742414;49.20995306457266;0.0
2017-01-01;A0004;3644.0;141;51;C;300.0;141381.0;775983.93;6901639.58;0;144;51;C;944.0;145025.0;779551.64;6901049.71;0;2017;Permanent horaire;24395;17.8;4.042676151742414;49.20995306457266;0.0;4.091515445954079;49.204217062994296;0.0
2017-01-01;A0004;22846.0;144;51;C;944.0;145025.0;779551.64;6901049.71;0;167;51;C;790.0;167871.0;794058.36;6884715.01;0;2017;Permanent horaire;35515;16.2;4.091515445954079;49.204217062994296;0.0;4.286874913178823;49.05540595068377;0.0
2017-01-01;A0004;3010.0;167;51;C;790.0;167871.0;794058.36;6884715.01;0;170;51;C;800.0;170881.0;796703.98;6883347.36;0;2017;Permanent horaire;24226;17.5;4.286874913178823;49.05540595068377;0.0;4.322751294974057;49.04271719899899;0.0
2017-01-01;A0004;8812.0;170;51;C;800.0;170881.0;796703.98;6883347.36;0;179;51;C;612.0;179693.0;805318.36;6882588.9;0;2017;Permanent horaire;16108;17.1;4.322751294974057;49.04271719899899;0.0;4.440367543487887;49.03454324103422;0.0
2017-01-01;A0004;32586.0;179;51;C;612.0;179693.0;805318.36;6882588.9;0;212;51;C;198.0;212279.0;836733.93;6887522.39;0;2017;Permanent horaire;15699;17.1;4.440367543487887;49.03454324103422;0.0;4.871473472956669;49.07297004354372;0.0
